--- Top 100 Functions by Cumulative Time ---Sun Aug 17 21:18:04 2025    /media/sifat/hdd/pikachu/Logs/profile.stats

         126487 function calls (123170 primitive calls) in 10.308 seconds

   Ordered by: cumulative time
   List reduced from 2898 to 29 due to restriction <'pikachu'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.120    0.002 /media/sifat/hdd/pikachu/utils/message_utils.py:68(handle_all_messages)
       34    0.001    0.000    0.119    0.004 /media/sifat/hdd/pikachu/utils/message_utils.py:93(user_message_handler)
  123/121    0.003    0.000    0.085    0.001 /media/sifat/hdd/pikachu/Main/bot_core.py:77(main)
       12    0.000    0.000    0.064    0.005 /media/sifat/hdd/pikachu/ai/gemini_schema.py:479(gemini_non_stream)
       10    0.000    0.000    0.047    0.005 /media/sifat/hdd/pikachu/ext/user_content_tools.py:209(create_prompt)
       12    0.000    0.000    0.021    0.002 /media/sifat/hdd/pikachu/Main/bot_core.py:88(telegram_webhook)
       12    0.000    0.000    0.019    0.002 /media/sifat/hdd/pikachu/bot/echo.py:30(echo)
       14    0.000    0.000    0.008    0.001 /media/sifat/hdd/pikachu/utils/message_utils.py:33(send_message)
        7    0.000    0.000    0.006    0.001 /media/sifat/hdd/pikachu/utils/utils.py:95(safe_send)
      7/6    0.000    0.000    0.003    0.001 /media/sifat/hdd/pikachu/utils/db.py:124(initialize_bot)
       24    0.000    0.000    0.003    0.000 /media/sifat/hdd/pikachu/utils/db.py:155(populate_db_caches)
      3/2    0.000    0.000    0.002    0.001 /media/sifat/hdd/pikachu/utils/db.py:66(load_gemini_api)
       16    0.000    0.000    0.002    0.000 /media/sifat/hdd/pikachu/utils/db.py:107(load_all_persona)
        8    0.000    0.000    0.001    0.000 /media/sifat/hdd/pikachu/ext/user_content_tools.py:283(save_conversation)
        1    0.000    0.000    0.001    0.001 /media/sifat/hdd/pikachu/bot/media_handler.py:73(run_media_workers)
        5    0.000    0.000    0.001    0.000 /media/sifat/hdd/pikachu/utils/db.py:92(load_all_user_info)
        2    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:36(load_all_user)
        5    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:77(load_all_user_settings)
        2    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:46(load_admin)
        2    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:56(load_gemini_model)
        1    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/message_utils.py:83(run_workers)
        2    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:27(get_token)
       62    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:38(<genexpr>)
        1    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/Logs/logs_creator.py:23(save_profiler_stats)
        2    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/utils.py:35(is_ddos)
       12    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/bot/media_handler.py:59(media_worker)
        7    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/db.py:48(<genexpr>)
        1    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/utils.py:118(get_settings)
        1    0.000    0.000    0.000    0.000 /media/sifat/hdd/pikachu/utils/utils.py:154(load_persona)




--- Top 100 Functions by Total Time ---Sun Aug 17 21:18:04 2025    /media/sifat/hdd/pikachu/Logs/profile.stats

         126487 function calls (123170 primitive calls) in 10.308 seconds

   Ordered by: internal time
